metric,value,unit,source
protocol_unlock_2030,0.82,dimensionless,Chapter 11
leadership_factor_base,1.0,dimensionless,Chapter 11
entropy_level_base,0.5,dimensionless,Chapter 11
carbon_command_coeff_base,0.7,dimensionless,Chapter 11
stability_poly_degree_base,2,dimensionless,Chapter 11
isolated_sprint_figure_11_2_point1_x,2010,year,Figure 11.2
isolated_sprint_figure_11_2_point1_y,20,percent,Figure 11.2
isolated_sprint_figure_11_2_point2_x,2026,year,Figure 11.2
isolated_sprint_figure_11_2_point2_y,68,percent,Figure 11.2
protocol_leadership_figure_11_2_point1_x,2010,year,Figure 11.2
protocol_leadership_figure_11_2_point1_y,20,percent,Figure 11.2
protocol_leadership_figure_11_2_point2_x,2030,year,Figure 11.2
protocol_leadership_figure_11_2_point2_y,82,percent,Figure 11.2
entropy_old_model_figure_11_5_point1_x,2010,year,Figure 11.5
entropy_old_model_figure_11_5_point1_y,0.2,entropy_units,Figure 11.5
entropy_old_model_figure_11_5_point2_x,2026,year,Figure 11.5
entropy_old_model_figure_11_5_point2_y,0.8,entropy_units,Figure 11.5
protocol_entropy_reduction_figure_11_5_point1_x,2026,year,Figure 11.5
protocol_entropy_reduction_figure_11_5_point1_y,0.8,entropy_units,Figure 11.5
protocol_entropy_reduction_figure_11_5_point2_x,2030,year,Figure 11.5
protocol_entropy_reduction_figure_11_5_point2_y,0.3,entropy_units,Figure 11.5
renewables_2023,0.52,percent,Table 11.1
solar_capacity_2023,82,GW,Table 11.1
negative_prices_2023,300,hours,Table 11.1
renewables_2030,0.82,percent,Table 11.1
solar_capacity_2030,160,GW,Table 11.1
negative_prices_2030,50,hours,Table 11.1
phi_mcp_2026,0,dimensionless,Figure 11.2
phi_mcp_2030,1.2,dimensionless,Figure 11.2
psi_mcp_2030,1.5,dimensionless,Chapter 11
mer_reset_subsidy,12,billion_euro,Chapter 11
protocol_multiplier_storage,0.8,dimensionless,Appendix A
protocol_multiplier_grid_intelligence,0.9,dimensionless,Appendix A
protocol_multiplier_carbon_command,1.2,dimensionless,Appendix A
protocol_multiplier_stability,1.1,dimensionless,Appendix A
protocol_multiplier_sovereign_dawn,1.5,dimensionless,Appendix A
